produto_id,nome_produto
1220,COLCHONES 6P 130G BIM 1220
1230,PANQUE PASAS 255G BIM 1230
1232,PANQUE NUEZ 255G BIM 1232
1233,TOSTADO DOBLE FIBRA 250G BIM 1233
1238,PANQUECITO GOTA CHOC 2P 140G BIM 1238
1240,MANTECADAS VAINILLA 4P 125G BIM 1240
1242,DONITAS ESPOLVOREADAS 6P 105G BIM 1242
1250,DONAS AZUCAR 4P 105G BIM 1250
1272,CONCHAS CHOCOLATE 2P 120G BIM 1272
1277,NITO EDICION ESPECIAL 62G BIM 1277
1278,NITO 1P 62G BIM 1278
1284,REBANADA 2P 55G BIM 1284
1289,DONAS 6P PROM BIM 1289
1294,LORS TUBO 20P 236G MLA 1294
1309,BIMBUNUELOS 4P 66G BIM 1309
1319,CONCHITAS VAINILLA 2P 65G BIM 1319
1348,SURTIDO RICO KC 454G LAR 1348
1373,BOLLOS EXTRA AJN FS 12P 960G BIM 1373
1464,DONAS PANERA 26P 650G BIM 1464
1554,BIMBOLLOS CON AJN 18P 1440G BIM 1554
1580,ROSCA DE PANQUE RECET ORI 600G CU SUA 1580
1608,PASTEL CHOCOLATE REC ORIG 500G CU SUA 1608
1641,DORADITAS 4P TR 1641
1643,BRAN FRUT PINA 40G BIM 1643
1644,BRAN FRUT FRESA 40G BIM 1644
1647,ANIMALITOS KC 500G LAR 1647
1686,TORTILLAS HARINA 520G 20P WON 1686
1687,ROLES GLASS 6P 410G BIM 1687
1700,TORTILLA CONSUMOS 550G TR 1700
1702,TORTILLAS CONSUMOS 1 05KG TR 1702
1876,TOTOPOS 200G MR 1876
1899,GALLETA MOLIDA 5KG LAR 1899
1949,SUAVICREMAS NAPOLITANO KC 12P 480G MLA 1949
2025,PAN BLANCO 460G BIM 2025
2027,PAN BLANCO 567G WON 2027
2028,CANELITA ETN 3P 30G MLA 2028
2059,BANDERILLA CONGELADA 70G CJ DH 2059
2060,BARRITA PINA CONGELADA 75G CJ DH 2060
2062,CONCHA VAINILLA CONG 77G CJ DH 2062
2063,CONCHA CHOCOLATE CONG 77G CJ DH 2063
2064,PEINETA DANES PINA CONGELADA 80G CJ DH 2064
2065,CUERNO CONGELADO 80G CJ DH 2065
2095,PAN DOBLE FIBRA 750G BIM 2095
2096,PAN DOBLE FIBRA 530G BIM 2096
2097,CONCHA CHICHARRON CONG 77G CJ DH 2097
2122,PAN BLANCO 567G SUN 2122
2130,PAN DE LINAZA 475G WON 2130
2185,MOLIDO INDUSTRIAL 25KG BIM 2185
2230,PRINCIPE 6P 64G MLA 2230
2233,PAN BLANCO 640G BIM 2233
2261,RUNNERS 58G BAR 2261
2290,WONDER 100PCT GDE 680G WON 2290
2309,MANTECADAS 2P 62 5G BIM 2309
2320,BARRITAS FRESA SALVADO 67G PROM MLA 2320
2425,NITO 1P 62G CENTRAL BIM 2425
2438,MOLIDO 25KG BIM 2438
2505,MINI BIGOTES CHOCOLATE 5P 65G SP TR 2505
2575,VASOS 226 8G8OZ NES 2575
2589,VIDRIO CONGELADO 65G CJ DH 2589
2604,BARRITA PRECOCIDA 44G DH 2604
2665,TOSTADA ONDULADA TUBO 30P 360G CJ MR 2665
2734,LORS 8P 89G MLA 2734
2805,DONAS PANERA 10P 525G BIM 2805
2806,DONITAS PANERA 30P 525G BIM 2806
2808,MANTECADAS PANERA 16P 500G BIM 2808
2810,PANQUECITOS GOTAS PANERA 10P 700G BIM 2810
2816,PRINCIPE 8P 85G SP MLA 2816
2817,PLATIVOLOS 8P 74G MLA 2817
3030,TOSTADO BLANCO 180G WON 3030
3144,PAN MULTIGRANO 540G BIM 3144
3160,TOSTADA OND ROJA TUBO 30P 360G MR 3160
3230,PRINCIPE CHOCOLATE BLANCO 8P 88G MLA 3230
3256,OREJAS 70G SP TR 3256
3270,CONCHAS VAINILLA 2P 120G BIM 3270
3303,BARRITAS PINA 67G PROM MLA 3303
3305,BARRITAS FRESA 67G PROM MLA 3305
3319,PASTISETAS 20P 150G SUA 3319
3320,PASTISETA 40P 300G SUA 3320
3333,PASTISETAS 75G SUA 3333
3402,ANIMALITOS 2KG LAR 3402
3415,CANAPINAS KC 560G LAR 3415
3428,DELICIOSAS 6KG LAR 3428
3435,CANAPINAS 115G LAR 3435
3446,MAGNAS 200G LAR 3446
3447,DELICIOSAS 300G LAR 3447
3509,PALETINA PARA CAFE NES 3509
3510,SALADAS 140G LAR 3510
3518,ANIMALITOS KARAMELO 200G LAR 3518
3525,CANAPINAS 95G LAR 3525
3526,CANAPINAS 95G SP LAR 3526
3530,MARIAS 170G LAR 3530
3535,DECANELAS 100G LAR 3535
3555,DELICIOSAS 115G LAR 3555
3606,TORTILLA HNA 750G 18P RW SONORA DH 3606
3609,MANTECADAS CHOCOLATE 3P TR 3609
3621,SUPER PAN BLANCO 740G PROM TNB BIM 3621
3631,PAN INTEGRAL 370G BIM 3631
3678,BIMBOLLOS 8P 450G PROM BIM 3678
3687,MEDIAS NOCHES JUMBO 500G BIM 3687
3718,CUERNITOS FAMILI PACK 3P 150G MTA TR 3718
3720,BRAN FRUT MANZANA CANELA 40G BIM 3720
3826,PALITRIGOS 100G BIM 3826
3894,SPONCH 8P 120G MLA 3894
3919,BARRA MULTIGRANO LINAZA 32G BIM 3919
3944,SALADAS 175G CU LAR 3944
3970,TOSTADA PLANA DE MAIZ 20P 180G TN DH 3970
3977,BRAN FRUT FRESA 6P 240G BIM 3977
3978,BRAN FRUT PINA 6P 240G BIM 3978
4053,BIMKINGO JALAPENO 86G CU LON 4053
4085,TRIKI TRAKES 8P 69G MLA 4085
4087,LORS KC 497G MLA 4087
4102,MANTECADA VAINILLA 3P 157G PROM TAB TR 4102
4109,TORTILLA HNA 22P 840G RW CH DH 4109
4118,TORTILLAS BOLSA 2A 1KG 4118
4126,PAN CERO CERO 0PCT AZUCAR 567G WON 4126
4135,PAN EMPACADO BOLSA 2A 1KG BIM 4135
4136,PASTELES O GALLETAS BOLSA DE 2A 1KG MLA 4136
4139,PAN DULCE BOLSA 2A 1KG BIM 4139
4150,BOLLO PARRILLERO 6P 585G BIM 4150
4152,MEDIAS NOCHES 12P 510G BIM 4152
4153,PAN BLANCO 640G CONSUMOS BREDDY BIM 4153
4169,MANTECADAS 2P 62 5G MTB BIM 4169
4189,SPONCH NAVIDAD 120G CJ TAB MLA 4189
4190,SPONCH NAVIDAD 120G CJ MLA 4190
4220,BIGOTES CHOCOLATE 60G SP TR 4220
4221,BIGOTES CAJETA 60G TR 4221
4234,DIV TIRA MINI DORADITA 4P 45G TIR TR 4234
4240,MANTECADAS 2P SP TR 4240
4245,CONCHAS 2P 120G TR 4245
4259,CONCHAS 3P 180G PROM TR 4259
4270,CUERNITOS 100G TR 4270
4280,DORADITAS 110G TR 4280
4301,MEDIAS NOCHES 8P 340G TNB BIM 4301
4304,MANTECADAS CHOCOLATE SP 2P 95G TR 4304
4385,TOSTADA ONDULADA TUBO 30P 360G TN MR 4385
4468,WONDER 100PCT AJONJOLI 680G SP WON 4468
4477,TOSTADA ONDULADA TUBO 20P 240G MR 4477
4482,CHOCOCHISPAS 220G LAR 4482
4512,BOLLOS BK 5IN 6P 489G SL 4512
4513,BOLLOS BK 4IN 6P 345G SL 4513
4514,MEDIAS NOCHES BK 6P 470G SL 4514
4624,CAJETA ESPREABLE ENVINADA 660G COR 4624
4733,BIMKINGO JALAPENO 86G LON 4733
4767,TOSTADO DOBLE FIBRA 250G CJ BIM 4767
4773,TOSTADA OND TUBO 30P 360G PROM CU MR 4773
4774,PAN BLANCO 640G CU BIM 4774
4820,SUPER HOT DOGS 12P 650G WON 4820
4838,PAN BLANCO 680G CU BIM 4838
4859,SANDWICHON 115G CJ LON 4859
4910,EMPANIZADOR CRUJIENTE 175G BIM 4910
4919,CAJETA ESPREABLE QUEMADA 660G COR 4919
4943,CANELITAS VIPS 250G TUBO CU MLA 4943
4944,BIMBOLUNCH 6P 354G ME BIM 4944
4946,PANERA POLVORON 14P 65G TR 4946
4947,BAGUETTE PRECOCIDA CONG 280G CJ DH 4947
5000,GANSITO 1P 50G CCHAROLA MLA 5000
5015,TRIKI TRAKES CHOCOLATE 69G MLA 5015
5052,NITO 1P 62G CENTRAL TAB BIM 5052
5200,COCA COLA LATA 355ML CC 5200
5223,COCA COLA LIGHT LATA 355ML CC 5223
5277,BARRA MULTIGRANO LINAZA 6P 192G BIM 5277
5310,GANSITO 50G MLA 5310
5328,SUBMARINOS VAINILLA 3P 105G SP MLA 5328
5337,SUBMARINOS FRESA 3P 105G SP MLA 5337
5340,CHOCO ROLES 2P 80G MLA 5340
5345,ROLLO FRESA 2P 75G MLA 5345
5350,PAY PINA 1P 85G MLA 5350
5354,PAY NUEZ 1P 70G MLA 5354
5355,NAPOLITANO 1P 70G MLA 5355
5371,BOMBONETE 55G CJ MLA 5371
5376,ROCKO TIRA 10P 44G MLA 5376
5380,PINGUINOS 2P 80G MLA 5380
5386,CHOCO ROLES 2P 80G MLA 5386
5410,CANELITAS 6P 60G MLA 5410
5414,CANELITAS TUBO 250G MLA 5414
5422,TRIKI TRAKES TUBO 27P 225G MLA 5422
5423,PLATIVOLOS TUBO 193G MLA 5423
5430,TRIKI TRAKES 6P 50G MLA 5430
5434,SPONCH FRESA 6P 90G MLA 5434
5453,SUAVICREMAS VAINILLA 205G MLA 5453
5454,SUAVICREMAS FRESA 205G MLA 5454
5456,SUAVICREMAS CHOCOLATE 205G MLA 5456
5460,POLVORONES 4P 75G MLA 5460
5463,POLVORON TUBO 280G MLA 5463
5470,PRINCIPE TUBO 205G MLA 5470
5496,PLATIVOLOS 300G MLA 5496
5543,GANSITO ME 5P 250G MLA 5543
5544,PINGUINOS 6P 240G ME MLA 5544
5545,CHOCO ROLES 7P 234 5G ME MLA 5545
5576,TRIKI TRAKES 3P 25G INST MLA 5576
5621,SUBMARINOS CHOCOLATE 3P 105G SP MLA 5621
5707,TOSTADA ONDULADA TUBO 30P MR 5707
5708,POLVORON KC 12P 900G MLA 5708
5709,PLATIVOLOS KC 12P 522G MLA 5709
5710,CANELITAS KC 12P 720G MLA 5710
5711,SPONCH KC 540G MLA 5711
5712,TRIKI TRAKES KC 600G MLA 5712
5713,PRINCIPE KC 610G MLA 5713
5714,SUAVICREMAS CHOCOLATE KC 480G MLA 5714
5715,BARRITAS FRESA KC 12P 804G MLA 5715
5716,BARRITAS PINA KC 12P 768G MLA 5716
5717,SUAVICREMAS VAINILLA KC 480G MLA 5717
5718,SUAVICREMAS FRESA KC 480G MLA 5718
5901,CHOCOTORRO FRESA 1P 50G PROM MLA 5901
5917,BURRITOS COMBINADO 191G CU LON 5917
5918,BURRITOS NORTENO 186G CU LON 5918
5919,BURRITOS CLASICO 197G CU LON 5919
5921,BURRITOS POBLANO 208G CU LON 5921
5948,BASE PLATIVOLOS CHOCOLATE 6KG MLA 5948
6066,FRUTE 54G MTB MLA 6066
6085,TOSTADA ONDULADA REG 30P 360G CU2 MR 6085
6177,CHICHARRON KIMONO 36G BAR 6177
6420,TORTILLA NACHOS 3PQ 1KG BAR 6420
6437,TAKIS FAJITAS 62G BAR 6437
6456,CHURRITOS CHILE Y LIMON 49G BAR 6456
6469,TOTOPOS 280G DH 6469
6476,TOSTACHOS QUESO CB1 70G BAR 6476
6490,CHIPOTLES 52G BAR 6490
6500,BURRITOS NORTENO 186G MTA LON 6500
6502,BURRITOS CLASICO 197G MTA LON 6502
6503,BURRITOS POBLANO 208G MTA LON 6503
6505,BURRITOS COMBINADO 191G MTA LON 6505
6507,BIMKINGO CLASICO 135G CU LON 6507
6555,TAKIS SALSA BRAVA 62G BAR 6555
6566,BIMKINGO JALAPENO 86G MTA LON 6566
6633,PAN TOSTADO ARANDANOS 150G MTA BIM 6633
6645,TORTINACHOS 3PQ 1KG MR 6645
6657,SANDWICHON 115G LON 6657
6667,BIMKINGO CLASICO 135G LON 6667
6700,TOTOPOS REDONDO 350G MR 6700
6820,GOLDEN NUTS SEMILLA 20G BAR 6820
7144,BOLLOS ECONOMICOS 8P 425G SL 7144
7145,HOT DOGS ECONOMICOS 16P 570G SL 7145
7340,BIMKINGO CLASICO REFRIG 135G MTA LON 7340
7342,SANDWICHON REFRIGERADO 115G MTA LON 7342
7724,PANDITAS 42 5G RIC 7724
7761,BUBULUBU 20G RIC 7761
7814,KRANKY 40G RIC 7814
7829,BUBULUBU 1P 35G RIC 7829
7884,ALMENDRAS 35G RIC 7884
8766,CAJETA QUEMADA CUBETA 25KG COR 8766
8768,CAJETA QUEMADA CUBETA 5KG COR 8768
8825,OBLEAS TIRA 10P COR 8825
8863,MEDIAS NOCHES ESP BK 7IN 1775G TIR SL 8863
8864,BOLLOS BK 5IN 20P 1730G SL 8864
8865,BOLLOS BK 4IN 30P 1635G TN SL 8865
8874,TORTILLA HNA 10P 260G CH DH 8874
8921,TORTILLA HNA RC GDL 10P 260G DH 8921
8931,MEDIAS NOCHES CONVENIENCIA 290G BIM 8931
8940,TORTILLA HNA RC SLP 10P 260G DH 8940
9082,DALMATA 1P 55G TAB MLA 9082
9197,BARRITAS FRESA 32G CU MLA 9197
9217,CUERNITOS FAMILI PACK 3P 150G TR 9217
9248,DULCIGOMAS 49G RIC 9248
9249,CANELITAS 30G CU MLA 9249
9302,PRINCIPE 42 5G CU MLA 9302
9416,CHOCORETAS 10G RIC 9416
9699,MENTHO PLUS MIEL 30G RIC 9699
9711,OATNUT 680G ORO 9711
9717,PAN 12 GRAIN 680G ORO 9717
9753,100PCT WHOLE WHEAT 680G ORO 9753
9756,BUTTER MILK BREAD 680G ORO 9756
9764,BUBULUBU TWIN PACK 70G RIC 9764
9798,CHICKS VITROLERO 1470G EXP CA CHK 9798
9853,PASTELES YO GALLETAS 2A 500G MLA 9853
9869,PAN BLANCO 470G BIM 9869
30007,DUO NITO 124G SP MTB BIM 30007
30008,DUO NITO 124G SP TAB BIM 30008
30009,SUBMARINOS CHOCOLATE 3P 105G MLA 30009
30010,SUBMARINOS CHOCOLATE 3P 105G MTA MLA 30010
30011,SUBMARINOS FRESA 3P 105G MLA 30011
30012,SUBMARINOS FRESA 3P 105G MTA MLA 30012
30014,SUBMARINOS VAINILLA 3P 105G MLA 30014
30015,SUBMARINOS VAINILLA 3P 105G MTA MLA 30015
30091,RAZTACHOC 1P 40G BIM 30091
30092,RAZTACHOC 1P 40G MTA BIM 30092
30099,CAMIONCITOS BIMBO BIM 30099
30100,TRAILER 20G BIM 30100
30110,TAKIS FUEGO 56G BAR 30110
30111,TAKIS FAJITAS 56G BAR 30111
30112,TAKIS SALSA BRAVA 56G BAR 30112
30137,NAPI 25G MTA MLA 30137
30172,MEDIAS NOCHES 8P 340G PROM MTA BIM 30172
30173,MEDIAS NOCHES 8P 340G PROM BIM 30173
30177,BRAN FRUT FRESA 6P 240G VAR BIM 30177
30178,BRAN FRUT PINA 6P 240G VAR BIM 30178
30187,SPRITE LATA 24P 355ML CC 30187
30189,FRESCA LATA 24P 355ML CC 30189
30190,FANTA LATA 24P 355ML CC 30190
30191,MANZANA LIFT LATA 24P 355ML CC 30191
30194,TOSTADA OND ROJA TUBO 30P 360G TBE MR 30194
30195,TOSTADA ONDULADA TUBO 30P 360G TBE MR 30195
30214,TARTINAS FRESA 8P 104G TR 30214
30215,TARTINAS PINA 8P 104G TR 30215
30218,BRAN FRUT MANGO 48G BIM 30218
30227,TORTILLA HARINA CASERA 10P 220G DH 30227
30235,BARRITAS PINA KC 8P 600G CU MLA 30235
30236,BARRITAS FRESA KC 8P 600G CU MLA 30236
30249,TARTINAS FRESA 8P 104G MTB TR 30249
30250,TARTINAS FRESA 8P 104G TAB TR 30250
30251,TARTINAS PINA 8P 104G TAB TR 30251
30252,TARTINAS PINA 8P 104G MTB TR 30252
30265,BRAN FRUT MANGO 48G MTB BIM 30265
30266,BRAN FRUT MANGO 48G TAB BIM 30266
30280,CAMIONCITO BIMBO MODELO 3 BIM 30280
30289,PAN NATURA GRANOS ENTEROS 567G MTA BIM 30289
30302,TOSTADO 210G Y CAJETA QUEMADA 18G BIM 30302
30305,TOSTADO RESELLABLE 210G BIM 30305
30306,TOSTADO RESELLABLE 210G MTA BIM 30306
30314,CANELITAS KC 360G MLA 30314
30315,POLVORONES KC 450G MLA 30315
30332,LECHE GANSITO CHOCOLATE 24P MLA 30332
30349,MINI GANSITO 30G MTA MLA 30349
30354,POLVORONES 113G MLA 30354
30355,POLVORONES 113G MTB MLA 30355
30370,TORTILLINAS 12P 310G PROM TR 30370
30371,TORTILLINAS 12P 310G WM MTA TR 30371
30372,TORTILLINAS 12P 310G PROM TAB TR 30372
30374,TOSTADO 270G BIM 30374
30375,TOSTADO 270G TNB BIM 30375
30376,TOSTADO 270G TAB BIM 30376
30378,AGUA CIEL JAMAICA 12P 600ML CC 30378
30379,AGUA CIEL JAMAICA 24P 600ML CC 30379
30380,AGUA CIEL LIMON 12P 600ML CC 30380
30381,AGUA CIEL LIMON 24P 600ML CC 30381
30383,AGUA CIEL NATURAL 24P 600ML CC 30383
30384,COCA COLA LATA 12P 355ML CC 30384
30385,COCA COLA LIGHT LATA 12P 355ML CC 30385
30387,MANZANA LIFT LATA 12P 355ML CC 30387
30393,POWERADE NARANJA 12P 600ML CC 30393
30397,BARRA MORA AZUL GH 6P 31G MP 30397
30399,LATA SURTIDO DE GALLETAS 454G CIMAB GBI 30399
30403,PAN INTEGRAL 370G PROM BIM 30403
30408,CHOCO ROLES FRESA 2P 67G CC MLA 30408
30409,EMPANADITAS FRESA 20P 506G DH 30409
30413,TORTILLINAS BURRERAS 20P 1020G MTA TR 30413
30415,POLVORONCITOS CASEROS 8P 130G TR 30415
30416,POLVORONCITOS CASEROS 8P 130G MTA TR 30416
30417,POLVORONCITOS CASEROS 8P 130G TAB TR 30417
30418,SILUETA FRESA 22G BIM 30418
30419,SILUETA FRESA 22G MTB BIM 30419
30421,SILUETA FRESA 6P 132G BIM 30421
30422,SILUETA FRESA 6P 132G CU BIM 30422
30423,SILUETA FRESA 6P 132G MTA BIM 30423
30424,SILUETA FRESA 6P 132G TAB BIM 30424
30437,ROCKS 6P 45G MLA 30437
30461,BARRA ARROZ CON FRUTA SECA DIF 25G BIM 30461
30473,MI NAPI 25G MLA 30473
30475,MINI BIGOTES CHOCOLATE 5P 65G SP CU TR 30475
30477,PANQUE CHOCOLATE 255G BIM 30477
30505,TORTILLINAS 22P 570G PROM TR 30505
30506,TORTILLINAS 22P 570G PROM MTA TR 30506
30507,TORTILLINAS 22P 570G PROM TAB TR 30507
30531,PRINCIPE 10P 106G PROM MLA 30531
30532,PRINCIPE 10P 106G PROM MTB MLA 30532
30533,PRINCIPE 10P 106G PROM TAB MLA 30533
30543,PRINCIPE DBLE CHOC 10P 110G PROM MLA 30543
30544,PRINCIPE DBLE CHOC 10P 110G PROM MTB MLA 30544
30548,SUAVICREMAS CHOCOLATE 84G MLA 30548
30549,SUAVICREMAS CHOCOLATE 84G MTA MLA 30549
30550,SUAVICREMAS CHOCOLATE 84G TAB MLA 30550
30551,SUAVICREMAS FRESA 84G MLA 30551
30552,SUAVICREMAS FRESA 84G MTA MLA 30552
30553,SUAVICREMAS FRESA 84G TAB MLA 30553
30554,SUAVICREMAS VAINILLA 84G MLA 30554
30555,SUAVICREMAS VAINILLA 84G MTA MLA 30555
30556,SUAVICREMAS VAINILLA 84G TAB MLA 30556
30562,SANDWICH INTEGRAL 112G LON 30562
30566,JOYA SABOR MANZANA LATA 355ML CC 30566
30567,JOYA SABOR TORONJA LATA 355ML CC 30567
30568,BARRITAS FRESA SALVADO 67G MLA 30568
30569,BARRITAS FRESA SALVADO 67G PROM MTB MLA 30569
30570,BARRITAS FRESA SALVADO 67G TAB MLA 30570
30571,BARRITAS FRESA 67G MLA 30571
30572,BARRITAS FRESA 67G PROM MTB MLA 30572
30573,BARRITAS FRESA 67G TAB MLA 30573
30574,BARRITAS PINA 67G MLA 30574
30575,BARRITAS PINA 67G PROM MTB MLA 30575
30576,BARRITAS PINA 67G TAB MLA 30576
30581,CUERNITO JAMON Y QUESO 80G LON 30581
30582,SANDWICH BLANCO JAMON 90G LON 30582
30584,SAND BCO JAMON SN CHILE 86G LON 30584
30593,LATA OLA 2 NAVIDENA 6P 400G GBI 30593
30594,LATA OLA 3 NAVIDENA 6P 400G GBI 30594
30595,LATA OLA 4 PAUL FRANK 6P 400G GBI 30595
30599,WONDER 100PCT AJONJOLI 680G WON 30599
30626,ROSCA REYES 430G TR 30626
30646,BOMBONETE TEMPORALIDAD 55G SP MLA 30646
30693,POLVORONCITOS CASEROS 8P 130G SP CU TR 30693
30694,POLVORONCITOS CASEROS 8P 130G SP MTA TR 30694
30700,BARRA OROWEAT 35G ORO 30700
30706,BIMBOLLOS EXTRA 6P 480G PROM MTA BIM 30706
30707,EMPANADITAS FRESA 20P 506G PROM DH 30707
30723,TUINKY FRESAS CON CREMA 4P 152G WON 30723
30735,LECHE NITO 236ML CU BIM 30735
30746,TOSTADA KODYZ 20P 350G TBE KOD 30746
30749,TOSTADA ROJA 50P 585G TBE DH 30749
30751,BARRA NUTRIAVENA FRESA 6P 224G MTA BIM 30751
30772,TORTILLA 20P 550G TR 30772
30773,AGUA CIEL NATURAL 12P 600ML CU CC 30773
30784,BARRA MULTIGRANO NUEZ 1P 34G BIM 30784
30785,BARRA NUTRIAVENA FRESA 1P 32G BIM 30785
30805,CUERNITOS FAMILI PACK 3P 150G TAB TR 30805
30813,PIPUCHO 50G MTB MLA 30813
30814,PIPUCHO 49G TAB MLA 30814
30815,BARRA MULTIGRANO NUEZ 1P 34G MTB BIM 30815
30827,SURTIDO TARTALETAS GOLDEN HILLS 340G MP 30827
30830,BARRA MULTIGRANO LINAZA 1P 32G BIM 30830
30831,BARRA MULTIGRANO LINAZA 1P 32G TAB BIM 30831
30832,BARRA MULTIGRANO LINAZA 1P 32G MTB BIM 30832
30859,BISQUET CON SALVADO 115G MTA TR 30859
30871,EMPANADITAS PINA 20P DH 30871
30877,DUO GANSITO CLASICO 50G MLA 30877
30888,EMPANADITAS PINA 20P PROM DH 30888
30900,SANDWICH BLANCO JAMON 90G MTA LON 30900
30904,SANDWICH INTEGRAL 112G PROM MTA LON 30904
30906,CUERNITO JAMON Y QUESO 80G PROM MTA LON 30906
30916,BARRI FRUT FRESA 12P 37G PROM DPY CU BIM 30916
30917,BARRI FRUT FRESA 37G CJ CU BIM 30917
30919,SALADAS 175G LAR 30919
30946,BIMBUNUELOS CON CANELA 2P 33G BIM 30946
30954,SUBMARINOS FRESA 4P 140G PROM MLA 30954
30957,TOTOPO CHIPOTLE 200G MR 30957
